ID_REF,GSM1116084,GSM1116087,GSM1116090,GSM1116093,GSM1116096,GSM1116099,GSM1116102,GSM1116105,GSM1116108,GSM1116111,GSM1116114,GSM1116117,GSM1116120,GSM1116123,GSM1116126,GSM1116129,GSM1116132,GSM1116135,GSM1116138,GSM1116141,GSM1116144,GSM1116147,GSM1116150,GSM1116153,GSM1116156,GSM1116159,GSM1116162,GSM1116165,GSM1116168,GSM1116171,GSM1116174,GSM1116177,GSM1116180,GSM1116183,GSM1116186,GSM1116189,GSM1116192,GSM1116195,GSM1116198,GSM1116201,GSM1116204,GSM1116207,GSM1116210,GSM1116213,GSM1116216,GSM1116219,GSM1116222,GSM1116225,GSM1116228,GSM1116231,GSM1116234,GSM1116237
206378_at,-0.610160232698409,-0.6373425521289287,-0.6085800934599386,1.2643083401326427,1.1006245049004966,-0.6416481733610746,-0.6162225969662662,1.184824238125346,-0.08278411439054284,-0.5465147028226045,-0.12694745694967619,1.8935962099266455,-0.571218579021437,1.9624407077282409,-0.5119168828953102,-0.12948807298015824,2.168065362878221,-0.5238846302779216,-0.5300647304106061,-0.12807317706074345,-0.5397087436189965,-0.5413343247702074,-0.5103470713642806,1.698216640558121,-0.39862193226772175,-0.6130643840308136,-0.46983973723925526,-0.6655076561995321,-0.49397765507032193,1.122800158317776,0.9765660175779154,1.8515211298120788,0.6209376084721154,0.0729432550290699,0.9116481141453814,1.9240629468775465,1.8940712844689307,1.3480453920641364,-0.32634657005423157,1.723147726320655,1.9543437850945098,0.2349953124855408,1.9267068399824383,-0.5756842797189181,0.8652808388183423,1.8238635292851253,-0.7233969350560301,-0.678953711625246,1.2509442867040104,0.9468490721872294,-0.046193046927138603,-0.3688740037547132
1553602_at,-0.8353715390941776,-0.9161921830490904,-0.8342753214352574,1.5784548517200352,1.2130630167836285,-0.8242791063017036,-0.8192825795140926,1.8905638902374735,1.6178900226456248,1.3962226294738325,-0.3544333887224616,1.5922181689912325,-0.8021315471050707,1.6470817445761115,1.157044418554857,-0.16157622277578337,2.2095862029738287,-0.7936056673663696,-0.30148571748666625,0.062009182450647404,-0.8038092807264907,-0.37629661843978596,0.13265104181687135,-0.8870212852494825,-0.9852724012158391,-1.034943222625979,-0.983760544021562,-0.9991978010441809,-1.0382833036182708,1.0100867564695661,1.761087538021602,1.5193337109149694,0.5002939062855352,0.7571051818738572,-0.21336465595657733,0.5111148666025835,0.25438157611977963,1.09438654782926,-0.5235093128971773,-0.46151536942126264,1.7219052917625584,0.068956179958437,1.5899207699367754,0.05703710504746906,0.49965737920806175,1.4392619768976986,-0.35622493844382724,-0.742581277449099,0.8215798947874746,0.2041212294660328,-0.2558686461695882,1.082016423929619
202917_s_at,1.4079350526235976,0.33555773737563055,1.070841034273529,-0.35513014123223935,1.8003518110062722,1.315517423557177,1.0723618586011185,1.980778882682332,0.4013785734550611,1.6081769224228897,1.1629721312202588,1.9839527769312149,1.087570101877014,1.3390571392363892,1.4823893218786346,0.9061313514091229,1.953690576905411,0.24049960462159803,0.05212677685718953,0.978291159613405,1.4842187192581986,1.2359937398768417,1.7128272689068786,-0.9566712651246203,1.4941150978536728,0.6764516124514448,-0.9035856797188311,-0.8386464809307568,1.8072065409465672,-0.9063165512288069,-1.0342377140181445,-0.853208924890734,-0.9767505544352593,0.5332274303773907,-0.481556928812728,0.2614451025709944,-0.005567567489164538,-0.9619015783555913,-0.9485866511628833,-0.23816772997446017,0.2944778477848854,-0.5979881536024649,-0.8897594028971363,-0.8878859236530043,-0.6104941785803535,1.830878502219483,-0.054591009075029895,-0.9832658540183821,-0.14128460802731996,-0.36548056303276183,-0.8786221198140782,-0.8837069628919756
209173_at,-1.0682156706813133,-1.1056807264767579,-0.32406185068383353,-1.1169799925660395,0.9142190991757148,-1.089464310123006,-1.1138597486988466,0.9145952987909085,-1.0469471147894043,-0.6475935197502243,-0.7967101954572675,1.5226666532783428,-1.120932301464484,0.66352631442752,1.4916191203303164,1.4403674551074874,1.6207883646764532,-1.0451015237360433,-1.087824522388545,-0.8733199276830499,-0.7980800046443544,-0.8812776560138482,-0.13022831836376336,1.2959068028731915,0.8565056523272095,0.6431252305894688,0.1591422127041468,-1.0662085350873103,-0.11618722096139489,0.2724070650832515,0.5917208725816497,0.8595152492487574,1.382078644141627,1.2910383372648053,1.4586684599171933,1.63543802027987,1.707933899066566,1.0918959644926818,1.493632894741058,1.6088606239359073,1.326047030866928,1.4870604661697366,1.4162685503459755,1.5603972617433355,0.7999761277971074,1.2287662362557203,1.1555622170168953,1.37563899190508,1.0476371862346252,1.448843011143905,0.8427854310672123,1.5314298913734379
228241_at,-0.736616271501856,-0.7297034466814527,-0.7197063353262434,-0.7331162767819235,-0.13294317198175337,-0.7300923349836677,0.42657546030528026,-0.7298666009691634,-0.7652263815975491,-0.766093557811683,-0.5378697641774657,-0.7387864470274335,-0.7742937370118312,-0.6155021502546396,0.19990051490919403,-0.23788266884317694,0.35835908812023637,-0.7540581353552103,-0.7263531963077754,-0.5227455852057012,-0.7629176366769297,-0.7236220382313021,-0.7383305090179402,1.7428148539460917,-0.639054477431299,-0.6689675868384355,-0.7122682877988262,-0.7154330339823669,-0.7106657997948724,0.23177147576886006,0.5036692137339844,0.8032048410392654,1.5190699807580716,1.435458995781907,1.755956596572658,1.523338812121463,1.9290118910582081,1.3773045496691079,1.607642644072838,1.5162091932475266,1.1526433304816166,1.8072943224454865,1.5455546151330395,1.306298909661283,1.7317516522451557,1.4322406098325438,1.4402418749010995,1.8257776917518984,1.2438756321850926,1.7172465655705953,1.29342536586383,1.2803953727493944
206509_at,-0.787584918248549,-0.7866682305569044,-0.7872517805264636,-0.7909565402948897,-0.784195409613103,-0.7907262504601595,-0.7947440255379277,1.453703072880129,-0.7747781204491855,-0.7930425637492904,-0.5944701231500126,-0.5068638455361059,-0.7920029057575473,1.230791456155874,0.3008878109863486,1.9954431404055755,1.1846216980279314,-0.7728530762967323,-0.7935836330697243,-0.5980496767947019,-0.024871693093129532,-0.2998690572918906,-0.7748451951583304,1.0095119906874737,-0.7560598049505352,-0.7943818221085464,-0.78093557874867,-0.6745126093960339,-0.7411177955767316,1.150771328146234,1.6217252192876292,1.8257888427422209,0.28015054674244233,1.2966141040632166,0.44981378770034985,0.32330865042978735,-0.7871623475809373,1.0749098321035664,0.6127315487419374,1.7249531966613392,1.5065803019225426,0.1558521674027407,0.9368253642109886,0.854900314461639,2.056816499272986,1.0866479062038907,0.7282565561255108,0.5933916742718793,-0.7692802301229575,1.2324683238844918,1.2998560483385444,1.804794458779926
205916_at,0.7742261560939452,-0.3628694893971931,1.4337990384508021,-0.3805593652686057,1.6075857521054604,1.0775737645356667,0.9022197364606381,2.594684439135284,-0.37011888318593733,1.5289535424679217,-0.0272632077846231,2.3525637201037335,1.151580815768424,0.7150408405108853,1.6514276466914084,-0.031005340341616672,2.11191094685495,-0.35498323297654044,-0.1485471467350047,1.3124744486941289,1.6565541650404585,0.23399952425421663,1.771437860377974,-0.3525916105396929,1.3343874916636573,-0.08909534253291923,-0.29098757198225755,-0.3127538203735092,1.6617484347333282,-0.310079900670745,-0.40092293500496967,-0.30982696232048357,-0.3262363377936973,-0.352510308927109,-0.34739508246869577,-0.2206684522314376,-0.3724021034726728,-0.3668939192201035,-0.31569422869529895,-0.319169872633267,-0.27393004198649884,-0.0046907184019129855,-0.3786736195322812,-0.3615009122520284,-0.4381949817806885,2.440911472445066,-0.4027501887477962,-0.3773389180590264,-0.38218765589841397,-0.32909996125915764,-0.3121259912541102,-0.31492863851013253
214451_at,-0.6377350790378595,-0.6277317571841583,-0.6363302770056245,-0.6159936462436701,1.6705667944595135,-0.6028955172283508,-0.6049626504200794,1.9172085472331428,1.499468506674367,-0.6382701294763116,-0.5010002288835111,1.26377996706147,0.01728451014683119,1.6495419049837798,1.606926433938795,1.8213001668780302,1.7442953306479612,-0.6458527605798356,-0.6285802953244346,-0.5014669248606631,-0.611362042227996,-0.4634948430833011,-0.6102235868897918,-0.1994887000890741,-0.6036403451514818,-0.5632617149262809,-0.5751860328475518,-0.6165522671860191,-0.5918008810442388,0.49891947266840864,1.0358626225832697,1.0996726907320438,-0.6022449713208056,0.6433854481008295,1.0749071622879258,1.2079414433305138,-0.6113926838830612,1.6431307279239151,-0.6083921587370291,-0.5668444315185583,1.1442727982051193,-0.6082530927640393,1.6739845175245152,-0.5683223021128729,0.4111052033513756,1.6856990579611064,-0.6922442263490498,-0.6400214179158261,1.6323118666353926,-0.6331812576850435,1.2309415410327793,-0.5858092589537325
237339_at,-0.6951209963834986,-0.6909007121362118,-0.6940340649404029,-0.7204386674055308,-0.6916387813039038,-0.6921929264828619,-0.6938767209345571,-0.6927449357703381,-0.6409184782431079,-0.6387683474844947,-0.381666343362686,-0.6467660744784531,-0.6651347412242214,1.131256789767448,0.8671182098186105,1.6597427923878136,-0.387233900492605,-0.6384883083790682,-0.6344752056055418,-0.38747122176839,-0.6099077071362664,-0.6328970191215708,-0.6344941913076048,1.5482967212791219,-0.6283048524351287,-0.6739464801941231,-0.6641902025465969,-0.6903928446060317,-0.6635826600805868,1.0584133973779637,1.2169345167513916,1.4392238629282812,1.693181360145937,1.3597425944550872,1.653406314324351,0.6233085703535262,0.7991802481996044,1.8813059354608008,-0.061505703052013305,1.4521816045861486,1.5658584956872206,-0.17201198190859612,0.7660525713127597,1.9148868959843954,1.8162324416405211,0.4056944533096035,1.7053796737212923,1.751775983137283,1.6868448820824744,-0.638908367037208,2.0584425357068135,1.7109092594470854
205225_at,-0.4136202942002881,-0.5104660426324857,-0.4176775322245829,-0.8784832161784905,-0.6314102628701805,-0.9309371680330297,-0.8853515065736622,-0.4164146990528944,-0.7591228883934219,0.29319765832638695,-0.7845959695647117,-0.6858000832779295,0.26199307443613434,-0.4288717991532788,-0.7914523688754044,0.4842112829660717,-0.6199781742519009,-0.6683154326597497,0.3859671429991231,-0.7834282650688568,-0.5088369640588386,0.5196800097505566,-0.6100586315793727,-0.9164443142698105,-0.6159161797938145,0.20942734638749086,-0.8321745767827892,-0.8477019548956967,-0.971378746346706,0.4592685441625529,0.914920632103186,1.2696863811055972,1.5754299452341596,1.6201166407069016,1.8066164096782913,1.530077349030584,1.4526188247332343,1.4647477309019936,1.7447352060486612,1.6426859190483767,1.4374695831067648,1.6143613558189807,1.9587747266738216,2.0078373412349,1.5810425371083303,1.3962075199640251,1.5625637918276913,2.1161413386712313,0.7780233329282292,1.7330343789211526,1.7231409966344784,1.239054947487241
