ID_REF,GSM1116186,GSM1116187,GSM1116188,GSM1116189,GSM1116190,GSM1116191,GSM1116192,GSM1116193,GSM1116194,GSM1116195,GSM1116196,GSM1116197,GSM1116198,GSM1116199,GSM1116200,GSM1116201,GSM1116202,GSM1116203,GSM1116204,GSM1116205,GSM1116206,GSM1116207,GSM1116208,GSM1116209,GSM1116210,GSM1116211,GSM1116212,GSM1116213,GSM1116214,GSM1116215,GSM1116216,GSM1116217,GSM1116218,GSM1116219,GSM1116220,GSM1116221,GSM1116222,GSM1116223,GSM1116224,GSM1116225,GSM1116226,GSM1116227,GSM1116228,GSM1116229,GSM1116230,GSM1116231,GSM1116232,GSM1116233,GSM1116234,GSM1116235,GSM1116236,GSM1116237,GSM1116238
206378_at,1.308205161397248,2.560155266245225,-0.049672352460553904,2.728376716712429,2.30246566720633,1.9301627790865732,2.5932719118515095,2.150021325164814,1.6867542205801243,1.9193404126264273,1.8045793233981682,2.698853450164366,0.1349342189547117,1.3032846093065416,1.8438528567516324,2.2717399051847944,2.7461271652353823,0.029426225164015718,2.3783679235193333,1.372532840290603,0.18724681547784727,0.7776519135373674,-0.09739039228767576,2.452608370328954,2.3764806279601123,2.3261902638895355,1.7575049120716344,0.14778044957722003,2.535236119050928,2.2853354870282168,1.4270751946254492,1.0460234532772108,1.7738895207094902,2.388303021659571,0.21730356935996398,1.2663502411131529,0.004198089727462495,2.046497429753612,1.1789686221860158,-0.26066084118583066,1.7884724571030652,1.5092110567233747,1.7059161969998198,0.14401332143868895,2.278866994248281,1.6251155851291252,-0.013739773942779698,1.0590135642938439,0.5808850114267701,0.16843828144147344,0.7197022819973659,0.098922413017416,2.077075565186083
1553602_at,0.37237386008711126,1.7721709570361197,-0.39836981266934823,1.1402474661665214,2.019229157607329,0.7605267016267273,1.113388681785351,1.511650746002713,2.2689018343041445,1.704522292605343,0.7128455551843913,2.0268516049695466,-0.09169135244815119,-0.006205789006909379,0.3171610767846529,0.07316322633239325,1.5427290635315887,-0.34796679814160103,2.2544764650765923,2.464577976335877,0.5216865161311306,0.7034044249631379,0.9915543012837247,2.234008588472575,2.1990038566889014,2.1799664753105503,1.2864881735048497,0.7130613522330134,1.1159037167988597,-0.20259141194063557,1.2176230037401559,1.1013294382335792,0.4552006193803938,2.2586306742246336,-0.049718358652064865,-0.1465597622587872,0.1860588549250346,1.9018156499219483,0.7528239996511096,-0.14959255530415838,2.5217288012121837,1.6006372074367352,1.432805545928265,2.1667908738470762,1.7984039543758419,0.8644891924807963,0.06811603610119943,0.5906828463505585,0.3183272634080575,0.03897407019094268,0.80575432064277,1.7463661620082236,2.6050346559354747
202917_s_at,0.08942326101252895,-0.19295090596181275,0.5100332880190978,0.7948683879533246,0.43965588820463775,0.7010900601217235,0.6463906729794779,0.761885666557015,0.08150606900638169,-0.45002814802418656,0.5343623418457556,1.4340226740570476,-0.40527035523645527,-0.05633162805245506,-0.4637923789123344,0.44360206979236805,0.10494714909565472,-0.36543816438565313,0.8623804324854717,-0.33154300361206857,0.12055068071685993,0.08365040528098455,-0.20890130009946528,-0.3295341672622665,-0.41214726635980836,2.0285714080257176,2.024234693242619,-0.18978967201377817,1.5092769949316311,1.0051350522565572,-0.1711159232907331,0.14333257923445542,1.9267573190582672,2.302288170419498,0.015860818861607284,-0.40942580350654567,0.5536442511319839,0.2501146596638928,-0.4307507893429162,-0.4577138307262062,-0.3572553115162518,1.0738666717899823,0.3690407146164185,1.9487243508696752,0.3820842416290474,0.1364231116796072,-0.28240486410912635,1.49131733359635,-0.1667111272266517,-0.46850488883591956,0.33109656751409033,-0.37728894693924253,2.4162402556703224
209173_at,2.054341937088517,1.846164927267317,1.9668825690318867,2.286326970569518,1.7002519237253222,1.7781709173865337,2.315710766549067,1.686213823641407,1.6605792706560347,1.6027080777396399,2.0250062919173546,1.8887676533127287,2.0732814933009287,1.7106352465951127,2.0235066771640247,2.0293222678212897,1.848985204220706,1.997553330069194,1.9194477977967606,2.1104135622783478,1.8810189051616957,1.9765138108222535,1.5276650605426214,1.2522865611277216,2.04510508305247,1.897940746555465,1.848437464325758,2.144043967326332,1.9709228519629927,2.099590424160283,1.543055600997178,1.5874445780929698,1.4523728406634617,1.8635838782726348,1.3818094949418516,1.4060592299929215,1.5236597380483674,1.4374448923044891,1.7206726009337197,1.8852424411088005,1.533816551681464,1.2804373214903035,1.7797281742975781,1.9182640721669202,1.7472787330601884,1.9462460399483597,1.7119442611694557,1.8899595302440892,1.3132782443053965,1.7485481003296979,1.143993464194234,2.1927317135070674,1.9382700012634868
228241_at,2.3792870474086643,2.131863760496886,2.152336741707847,2.171302725045258,1.9167076539086132,2.0480091836882743,2.782205728114838,2.2269321304235614,2.1498935697047274,1.7996362330339148,1.925040650293631,2.1611406017044854,2.35402333521927,2.189243062894943,2.3333973991004235,2.0891311130302936,1.921737636050588,2.3852181797243333,1.785928721747669,2.0934012938320423,2.6733996526589054,2.5020851993405615,1.7811388125260224,1.8874231909316102,2.0220161606351015,1.8422384224447677,2.1489528228855006,2.062765864333521,2.468263030231287,2.239272120398523,2.446553160642617,2.1787390493781933,2.347749269093522,2.2249376984024547,1.8115816217348983,1.9311767951714112,1.912447121386877,2.1948017593688283,2.102529330668636,2.512151153195881,1.9884747599911292,1.3450706838296713,2.045494873476107,1.335489389602516,2.165825781125446,2.454584459082163,2.0173143807516736,2.144167021235741,2.0345267674078107,2.6246775596328833,1.475538976569204,1.855480213097034,1.9375758880632474
206509_at,1.218238348485497,0.9982596137778457,0.6461021242732998,0.9347046698751166,2.2870900573391935,1.111535231042705,-0.3389131247317261,1.870017931592362,1.298112255355687,1.7991018296278867,2.3819359614078586,2.4354391625077447,1.2409030619461316,0.444223010060238,2.5345344389891316,2.481425290780513,1.7677793583704742,1.9135043477459526,2.2678424934334194,1.9822795723843116,2.2670459604263407,0.9788959312134018,0.3828373750045251,2.4184177978925963,1.5272000901674037,1.5666884599862307,0.9488867734351141,1.463779054675189,0.6847642225080696,1.0828936476623845,2.803609754837617,2.381123169524588,1.1526960946171299,1.8091500008137316,0.21722241373528073,2.527485600080113,1.243876285745135,2.25513366851336,1.1225873127701562,1.4499226516505912,0.6772164803872699,2.1642241548806758,-0.15160889616726514,1.4186569697207805,0.563105681650535,2.0107714105480596,2.09791551434847,-0.1611551670739121,1.9278671988681069,1.1117177943993337,1.8558924060445259,2.445066569771395,1.9601933903068027
205916_at,0.26319650462373023,0.15947030928374362,0.3741026180674143,0.3825487337930755,0.28121646382841026,0.11443060944309835,0.14481444272967003,0.17383266029522915,0.2542770707902241,0.21635705840074015,0.3756875555600092,0.9761375746138422,0.20482132535843534,0.5435585649910429,0.26596948716770275,0.4035604353393326,1.2395687199688656,0.2457824700189828,0.4146670091928102,0.03397987710035533,0.36472131799366436,0.5107867990938777,0.18402161002580208,0.13862441359307298,0.1582116646539966,1.6264129403177048,2.0627053753442244,0.30823084129821177,1.5144122856990057,0.6226516226121601,0.2570218350314083,1.3975850612593668,2.036959448270098,3.196875168194558,0.21898824290834873,0.061609328986232614,0.23212848418005516,0.20191245036611583,0.3091547390934849,0.23080814654894888,0.28704222165498006,1.1632789461532222,0.10857718734438171,1.999868046101643,0.2017590728287606,0.30474672930830604,0.630184436746905,0.24402552963791013,0.3514900701298771,0.26717812217099424,0.2405384755078802,0.1224444022900204,3.1294513925115846
214451_at,1.6742961560901772,2.343526938578621,-0.15324934605303697,1.6567374744793897,2.3507987455701134,1.5420557151634668,-0.13920188936585087,2.2170452738981234,2.1249447804314823,2.3038273719555167,-0.028694249714818265,2.5399546756121003,0.21425589271450673,0.23518500120815522,2.1857371795569676,0.08722684011079351,2.3301258657413446,0.10508369843597076,1.777257374159909,0.005654683433048202,-0.04968402966101049,0.06490471758755567,2.0018184596761586,2.0432536579737297,2.243210006371041,2.2598726243548493,1.1160738193716355,0.0853631575328565,1.216141727625121,-0.05981002483144382,1.3764818767387117,1.5059509119639896,1.6352910658281687,2.538788334990128,2.0158336348461923,2.305424764943824,-0.19106164868817666,1.8410433408157734,2.0632063344751947,-0.08273999817957378,2.116634888922161,-0.0845941874216889,2.296758944016222,0.0759301476856451,1.9561432989633811,-0.12847782169137267,2.226699209476741,-0.058038229300722555,1.9054896474396872,1.5936723505315478,0.047263810939026984,0.10021927540767539,-0.13367239733229896
237339_at,2.2840167403959706,1.7600458686740597,-0.0655620268431194,1.299375821253164,2.1399759774478384,2.2065328992901465,1.5334680107790288,1.9823326724773787,2.417062363396793,2.360359593801409,2.030816050592109,1.6441683996454002,0.5214943033836974,1.4266035085871818,2.6086336297049932,1.993152533357676,1.539365470879157,-0.25698609568666064,2.1418550579901425,2.02280400037859,2.254014299395736,0.39747615545934756,2.256104171910707,2.44975933098212,1.441353705532493,0.4792018266442498,1.7299598243711403,2.6525121954952637,1.1191783104493271,1.8410985933844533,2.4435479984913093,2.507956553922494,2.0598484962337684,1.2965491790760155,2.2319625674376113,2.7329191774589545,2.3785584949247927,2.285290646974615,2.243042476160877,2.248602782914937,2.2289190303906383,1.4542208606363114,2.076311174119789,0.11280702358361361,1.9577073475987143,0.01715915543541624,2.409440518202565,0.3309419448382349,2.799153915083549,2.2478678246699,0.13689471002343456,2.0404161796775435,1.2411459155730675
205225_at,2.4666289285157994,1.425981992565154,2.4233399556779602,2.1558544377917386,1.9280148816150824,1.698547282154853,2.0837070491862106,1.7011305659760052,2.3199365696442174,2.0904115492948994,1.8080445012711048,1.9882082842974853,2.2489302951780434,1.9974154951820893,2.4070048650859346,2.3070573002016626,2.320414253387562,2.5550006787564854,1.9859576585054732,2.126158020489444,2.1582686880185653,2.191438523869689,1.710714235178213,1.8553737570393083,2.496475574687611,1.2317630148817655,2.2771824954500426,2.491144484739247,2.117256026384273,2.5531577134428884,2.3201817730237666,2.26832780045428,2.36208472090557,2.1021495915453494,2.0329922495129185,2.320583424132619,2.099184470616028,1.9264267171579812,2.4518142769757207,2.7247520583353184,2.4627280817280472,1.3630950749101922,1.2737728696337007,1.7020772271556477,1.8384346115312966,2.3662980908205014,2.3072722080118364,2.270105469553471,2.3541719098408644,2.3390447125301503,2.307712067063396,1.914558865075926,2.2419754508771614
