ID_REF,GSM1116135,GSM1116136,GSM1116137,GSM1116138,GSM1116139,GSM1116140,GSM1116141,GSM1116142,GSM1116143,GSM1116144,GSM1116145,GSM1116146,GSM1116147,GSM1116148,GSM1116149,GSM1116150,GSM1116151,GSM1116152,GSM1116153,GSM1116154,GSM1116155,GSM1116156,GSM1116157,GSM1116158,GSM1116159,GSM1116160,GSM1116161,GSM1116162,GSM1116163,GSM1116164,GSM1116165,GSM1116166,GSM1116167,GSM1116168,GSM1116169,GSM1116170,GSM1116171,GSM1116172,GSM1116173,GSM1116174,GSM1116175,GSM1116176,GSM1116177,GSM1116178,GSM1116179,GSM1116180,GSM1116181,GSM1116182,GSM1116183,GSM1116184,GSM1116185
206378_at,-0.3111877519936611,-0.32694302877228587,-0.41829100746828163,-0.4362817206653372,-0.3312346450984406,0.41026549432953985,-0.0873935237020006,-0.28904223316387556,-0.5727101364004801,-0.4583904108864955,-0.40095568920419256,-0.4545403240612891,-0.34162842809595684,-0.31159942346732683,0.9429254909098203,-0.28657665277625954,-0.10108509315187347,-0.06513771203718072,2.023499904563102,-0.2722598986532436,-0.6969600440861969,-0.31513402710632316,-0.46733610566631056,-0.425513836117304,-0.40089597184761827,-0.44189647784103525,-0.5231210035832429,-0.2728770115639366,-0.4587877194467339,-0.42316420512802516,-0.7505593276237256,-0.3837416091216991,-0.3576978331832248,-0.37025458604670913,1.6035131722637523,1.899474443676501,1.2228114925749405,1.0945627946002747,1.6799725854043916,1.1290774036365838,1.8489550151215746,-0.38385469387270077,1.9825477919573866,1.7528468696128603,1.629395927732694,0.6355676423899567,1.2510595744200912,1.3443416232152299,0.21447540504628415,1.6874828703568874,0.9156271111617641
1553602_at,-0.6339540710137677,-0.5671170654618467,2.0842122992310737,-0.09104832876464719,0.5844191349249073,-0.7443008020425577,0.21232170476300055,-0.6619804569002365,0.4804383418080954,-0.6997815150465785,-0.7067845331429121,-0.4365434363063039,-0.0691751894890732,-0.35991452399931373,-0.5580813133893524,0.17246207247200487,1.7127621932165837,1.8596691821729818,-0.7427812422122555,2.0740402298949543,-0.03226094127478507,-0.7718004604652775,-0.9240523324556484,0.8908263148898721,-0.875047333466131,0.10056058601806916,-0.9052292123844315,-0.8221558018609088,-0.9639128110145645,-0.8796834318832129,-0.8872306702095799,-0.7094673020694249,-0.7736999672316565,-0.6772586544080069,1.2123024915927636,1.4030039011165738,1.25758109863251,1.6239690765491734,1.708772499787204,2.0785035122049016,1.5006783530023666,1.1447191571854558,1.8670076339382997,1.6376818756396352,1.6393017070690894,0.6074533839881505,1.2101901385501854,-0.5024687815531734,0.9253371230002371,0.7006252632725646,0.33116963542788114
202917_s_at,0.4452772969457354,0.06908924616341366,1.9607189678985475,0.2117641973288229,1.5908333981221054,1.4593797751792756,1.1011096134196294,0.608682231609706,1.846265110329734,1.4344188848102346,1.148792866220494,0.13034663864512908,1.20860717484732,1.0373474727105414,0.05350748068981337,1.7906427688071611,1.8403980153055404,1.8866659045240022,-1.1118900829009148,2.196216429244873,1.28353253270088,1.6075307733109545,-0.9193818554943192,-0.1942135493369085,0.7317818934968927,1.712929848080277,-0.7913132160327079,-0.9297087442070366,1.4483033297501575,-0.7641795453919498,-0.6652850905844367,-0.7624743516929972,1.2620266992654667,1.7956769876545966,-0.9737321137485344,0.5594108062229041,-0.9263439968332814,0.21808867389845854,0.06835215848725862,-0.8479875756550923,0.3397774563998701,-0.3480848627714407,-0.9375996030177354,-0.25888686392623694,-0.8176830418981208,-0.9515984881029418,-0.8269771509359474,-0.09814614464838495,0.5427599788920936,-0.8051890659280704,-0.501448896224427
209173_at,-1.0500790816178733,-1.1258083401009145,1.1176646234044894,-1.1082916922663721,-0.9696875114600157,-1.096334020682395,-1.0061320510927934,-0.9847438913316929,-1.0439821994023324,-0.7467349322515381,-0.8646803941098002,1.7454217727838761,-0.6773437802911249,-0.8285083174648562,-0.9157366065614517,-0.13199927739203876,0.7946599853000582,1.440605589299389,1.2674586563284915,1.224882286767401,-1.2124606402390143,0.9254134136815354,-0.03677825654053729,-0.8329655005490573,0.5647778963173571,0.6681131074143002,-0.9038554425982849,0.3607672868101793,-0.8408815700935399,-1.0837600255598918,-1.0484695562405308,-1.0599397331568863,-0.6325357274834099,-0.23725917169178645,0.5396049076660243,-0.3011668782607542,0.17864355168920573,0.6913266658385946,0.535040046140721,0.6458758885858125,0.7033765153730018,-0.2435382754361215,0.7836329645159565,0.7101885275034694,0.6501203123393191,1.5606672334464018,1.040502379120406,1.1208634284231953,1.4489796379813824,0.9658165225147021,1.5358189155500233
228241_at,-0.7208176854883586,-0.5300396453728331,-0.5075202573899746,-0.533924051429755,-0.5115597119761647,-0.4411444793312542,-0.22133490306854775,-0.4889861564636424,-0.5306476586333506,-0.33830679940259856,-0.6158096913199742,1.4393201536382292,-0.5525946802839701,-0.5672380043786511,-0.44915025590334223,-0.591876555936862,-0.2776420165106591,1.177483471563984,2.0485084036718533,-0.5713091400254243,-0.5295700481537708,-0.22833747558961115,-0.41537842699583183,-0.6558507240331386,-0.4823550048713462,-0.22638951352051984,-0.3303788905822481,-0.4224202153377147,-0.6772882336889225,-0.33897857681216725,-0.5813997908265024,-0.42572131066458885,-0.6357106341910822,-0.46423108573921057,-0.1576368694556673,-0.322925810128265,0.49154289881234736,0.5725986865675917,1.2038723378654512,0.5984988264454723,0.8449078053864848,-0.19253528021572774,1.1299507141342144,0.5502017694988377,0.3161038449702612,1.6243838493219855,1.358987344749928,1.5974718579312768,1.6260121432062808,1.615673927700667,1.8399380538770327
206509_at,-0.5253128721209163,-0.6488122851206172,2.15067619791254,-0.6128452508898528,-0.6007023671071818,-0.6012857136691336,-0.504111995554209,-0.5455815655791129,-0.7319982426812052,0.09619881631045968,-0.49568958060948143,-0.721079056806971,-0.02973577738284383,-0.7501006161586656,-0.727148718010338,-0.7591224458178236,0.5161313338066806,1.08961736521545,1.3038803764194968,1.9660961772818353,-0.574364886445633,-0.6741291747932012,-0.6843268033981627,-0.5414497079971317,-0.48714200276799025,-0.4212474814468944,-0.4716612901602544,-0.8078603502344801,-0.5821016945035198,-0.6422381856687285,-0.5298226085366156,-0.6274469830528687,-0.6989324969606061,-0.531401010078076,1.0124555002803777,1.1578566983703293,1.4749193431555625,1.008949826567426,1.9553746055004861,1.673044281898673,2.030039108251041,0.83848699446028,2.079634979133651,1.868502214995018,1.9892864512485056,0.5757060601915235,1.773131063375555,-0.5775858985836502,1.3510995257139213,1.1308827954976666,-0.3792237867584859
205916_at,-0.15352047429246374,-0.2574839719257185,2.3237107178998126,-0.12051843043709554,1.6007625083036707,1.5145646331895506,1.4093596866645957,-0.2472789625836036,2.50563219527771,1.7494090499009742,-0.2255602850616148,-0.33232786577568013,0.5122412702978532,-0.04844040688362955,1.0802585324795504,2.043372426228208,1.906458325055414,2.1863171791543574,-0.3270722735987728,2.7077763231849943,0.5830098710622156,1.5280285552366608,-0.21461492561993656,1.5697487171655375,0.030214622498337895,2.288002648237195,-0.45977362218982964,-0.25752966510497344,0.06026034222544785,-0.3875431572592151,-0.19504085822978023,-0.26546818036880826,0.9305557853818242,1.6442525831524,-0.17802377386243817,-0.08460175623083388,-0.23440138779358927,-0.3700414415171076,-0.23812262292806385,-0.33826457954956707,-0.2738632231171768,-0.08174038485871615,-0.1759240241515524,-0.25619454038640976,-0.1462490731667423,-0.13664031799385545,-0.13169906461578262,-0.2756991004115844,-0.17695543849806006,-0.3942777644893932,-0.47981538039127825
214451_at,-0.34740012756811767,-0.5614766923719423,1.8568344345466015,-0.6352897452968896,-0.6530454500397873,-0.6035812891405399,-0.3213650222613087,-0.581098577275321,-0.5308118915791691,-0.5700010204841686,-0.4099097470944113,-0.4340116328873187,-0.3960975382423166,-0.45760787645886647,0.9649506294283531,-0.5281663818102188,1.0526243654778449,1.9583252413559349,-0.17289652196129462,1.6719548456103734,-0.23742149986768846,-0.4695160974987821,-0.4329999885665231,-0.4900459400688919,-0.39962841914220926,-0.7265145559609753,-0.32716448582383684,-0.3612552077999709,-0.5584269901002278,-0.49679108857545584,-0.5564749575520171,-0.410850916216394,-0.4714658875447483,-0.4531253958285677,1.429551019035165,0.8383687321162899,0.7293373935756056,1.0039004622957388,1.4151372354208676,1.1366117136822491,1.907318465250414,0.8830403157860187,1.1570702397548438,1.1924521334176355,1.1488572525448617,-0.6620580194946404,1.4341670550096097,1.665038505964973,0.9186462350990983,1.4258240270667608,1.392108347502354
237339_at,-0.613080610037214,-0.8766646663794622,1.401871591682241,-0.47959525342925136,-0.4660067083843523,-0.470719168648722,-0.2674561584503665,-0.5638857507338595,-0.5748605588447248,-0.5551077894281478,-0.5788122297117706,-0.7188656404421399,-0.6534877559396258,-0.5514818944313975,-0.7648628429864682,-0.7344381157343257,0.31158780675205056,-0.3371793526714481,1.6178012441512208,0.8085920732261263,-0.38143571094574213,-0.6710878613477147,-0.6868161356191869,-0.6859220329721584,-0.44320333601395767,-0.5084378746173354,-0.6901156179638217,-0.6177157342648563,-0.5532366626410599,-0.6413766905275425,-0.5514788465161913,-0.7332001090273004,-0.5974719087337272,-0.514170351056707,0.9905939798543918,0.4339591774084259,1.1345709314088923,1.0533217680533358,1.408921198527215,1.2921173879386072,1.2377395788813654,0.7186687095837707,1.6587428387067185,1.2935682832955455,1.2985327552573351,1.7975143789668022,1.7951247511144675,1.0782160311728997,1.4947398253153192,1.7621077243627323,1.0108867299350812
205225_at,-0.7023240074966729,0.6859840949427041,-0.5588349096757498,0.5322085593031877,-0.40256465785726436,-0.11839625269025356,-0.5503164417012647,-0.6695707704834974,-0.529308804287315,-0.29074475446347925,-0.6401741710277649,-0.978546198261082,0.7709616791692222,0.4423479400019509,-0.8666508118487585,-0.4204668196776967,-0.06798449986074351,-0.8125846812236697,-0.8795275810514456,-0.12220937262886544,0.11148947811092047,-0.3573167516732989,-0.12096494072251496,-0.4916064355092844,0.39083025853201914,-0.46498858168317936,-0.5635543488288449,-0.7708853515676503,-0.7873534270276697,-0.846477200090913,-0.84284125356428,-0.7486186717318786,-0.16990215634979866,-0.6610397679535206,0.8034901270850721,0.7997751148023271,0.6324741864005149,0.9794645411473477,1.2823263307116637,1.0406271541245835,0.8657436851757583,-0.18257672374525036,1.3915011828666957,0.6391594997702188,0.7981796718549062,1.6775007334553527,1.2878570137233007,1.1702718722345282,1.8143946104767543,1.7017380706049656,1.6605236041992812
